,text,class
8900,acai powder,"[{'id': 'AG.01', 'name': 'Food'}, {'id': 'AG.01.h.01.b', 'name': 'Berry'}]"
5456,additional maraschino cherry halves,"[{'id': 'AG.01.y.01', 'name': 'Intoxicating liquor'}, {'id': 'AG.01.h.01.e', 'name': 'Fruit containing stone'}]"
7953,additional nutmeg,"[{'id': 'AG.01.l.03', 'name': 'Spice'}]"
8307,additional water,"[{'id': 'AG.01.z', 'name': 'Water'}]"
3339,agave nectar,"[{'id': 'AG.01.y', 'name': 'Drink'}]"
12493,alfredo sauce,"[{'id': 'AG.01.l.04', 'name': 'Sauce/dressing'}, {'id': 'AG.01.h', 'name': 'Fruit and vegetables'}]"
2746,all-purpose flour,"[{'id': 'AG.01.k', 'name': 'Flour'}, {'id': 'AG.01.j', 'name': 'Meal'}]"
80,allspice,"[{'id': 'AG.01.l.03', 'name': 'Spice'}, {'id': 'AG.01.w', 'name': 'Setting table'}]"
3337,almond butter,"[{'id': 'AG.01.e.01', 'name': 'Butter'}, {'id': 'AG.01.h.01.f', 'name': 'Nut'}, {'id': 'AG.01.n', 'name': 'Dishes and prepared food'}]"
3343,almond butter mixture,"[{'id': 'AG.01.e.01', 'name': 'Butter'}, {'id': 'AG.01.h.01.f', 'name': 'Nut'}, {'id': 'AG.01.n', 'name': 'Dishes and prepared food'}]"
3978,almond extract,"[{'id': 'AG.01.h.01.f', 'name': 'Nut'}]"
5076,almond flavoring,"[{'id': 'AG.01.h.01.f', 'name': 'Nut'}]"
2818,almond flour,"[{'id': 'AG.01.h.01.f', 'name': 'Nut'}, {'id': 'AG.01.j', 'name': 'Meal'}, {'id': 'AG.01.k', 'name': 'Flour'}]"
4229,almond meal,"[{'id': 'AG.01.h.01.f', 'name': 'Nut'}, {'id': 'AG.01.j', 'name': 'Meal'}, {'id': 'AG.01.r', 'name': 'Meal'}]"
2579,almond milk,"[{'id': 'AG.01.e', 'name': 'Dairy produce'}, {'id': 'AG.01.h.01.f', 'name': 'Nut'}]"
119,almond mixture,"[{'id': 'AG.01.af', 'name': 'Tea manufacture'}, {'id': 'AG.01.h.01.f', 'name': 'Nut'}, {'id': 'AG.01.n.17', 'name': 'Confections/sweetmeats'}]"
5249,almond paste,"[{'id': 'AG.01.h.01.f', 'name': 'Nut'}, {'id': 'AG.01.l', 'name': 'Additive'}, {'id': 'AG.01.n.17', 'name': 'Confections/sweetmeats'}]"
7052,almond toffee bits,"[{'id': 'AG.01.h.01.f', 'name': 'Nut'}]"
