,description,fdc_id,data_type,food_category_id,publication_date
0,"APPLEBEE'S, 9 oz house sirloin steak",169831,sr_legacy_food,25.0,2019-04-01
1,"APPLEBEE'S, Double Crunch Shrimp",169008,sr_legacy_food,25.0,2019-04-01
2,"APPLEBEE'S, KRAFT, Macaroni & Cheese, from kid's menu",169010,sr_legacy_food,25.0,2019-04-01
3,"APPLEBEE'S, chicken tenders platter",169841,sr_legacy_food,25.0,2019-04-01
4,"APPLEBEE'S, chicken tenders, from kids' menu",169012,sr_legacy_food,25.0,2019-04-01
5,"APPLEBEE'S, chili",169018,sr_legacy_food,25.0,2019-04-01
6,"APPLEBEE'S, coleslaw",169020,sr_legacy_food,25.0,2019-04-01
7,"APPLEBEE'S, crunchy onion rings",169840,sr_legacy_food,25.0,2019-04-01
8,"APPLEBEE'S, fish, hand battered",169017,sr_legacy_food,25.0,2019-04-01
9,"APPLEBEE'S, french fries",169009,sr_legacy_food,25.0,2019-04-01
10,"APPLEBEE'S, mozzarella sticks",169011,sr_legacy_food,25.0,2019-04-01
11,"ARBY'S, roast beef sandwich, classic",170791,sr_legacy_food,21.0,2019-04-01
12,"Abiyuch, raw",167782,sr_legacy_food,9.0,2019-04-01
13,"Acerola juice, raw",171687,sr_legacy_food,9.0,2019-04-01
14,"Acerola, (west indian cherry), raw",171686,sr_legacy_food,9.0,2019-04-01
15,Acorn stew (Apache),168061,sr_legacy_food,24.0,2019-04-01
16,"Agave, cooked (Southwest)",168992,sr_legacy_food,24.0,2019-04-01
17,"Agave, dried (Southwest)",168993,sr_legacy_food,24.0,2019-04-01
18,"Agave, raw (Southwest)",169814,sr_legacy_food,24.0,2019-04-01
19,"Agutuk, fish with shortening (Alaskan ice cream) (Alaska Native)",169823,sr_legacy_food,24.0,2019-04-01
20,"Agutuk, fish/berry with seal oil (Alaskan ice cream) (Alaska Native)",168976,sr_legacy_food,24.0,2019-04-01
21,"Agutuk, meat-caribou (Alaskan ice cream) (Alaska Native)",168977,sr_legacy_food,24.0,2019-04-01
22,"Alcoholic Beverage, wine, table, red, Barbera",173191,sr_legacy_food,14.0,2019-04-01
23,"Alcoholic Beverage, wine, table, red, Burgundy",173208,sr_legacy_food,14.0,2019-04-01
24,"Alcoholic Beverage, wine, table, red, Cabernet Franc",174834,sr_legacy_food,14.0,2019-04-01
25,"Alcoholic Beverage, wine, table, red, Cabernet Sauvignon",174833,sr_legacy_food,14.0,2019-04-01
26,"Alcoholic Beverage, wine, table, red, Carignane",174840,sr_legacy_food,14.0,2019-04-01
27,"Alcoholic Beverage, wine, table, red, Claret",173194,sr_legacy_food,14.0,2019-04-01
28,"Alcoholic Beverage, wine, table, red, Gamay",171872,sr_legacy_food,14.0,2019-04-01
29,"Alcoholic Beverage, wine, table, red, Lemberger",174838,sr_legacy_food,14.0,2019-04-01
30,"Alcoholic Beverage, wine, table, red, Merlot",171925,sr_legacy_food,14.0,2019-04-01
31,"Alcoholic Beverage, wine, table, red, Mouvedre",174109,sr_legacy_food,14.0,2019-04-01
32,"Alcoholic Beverage, wine, table, red, Petite Sirah",173193,sr_legacy_food,14.0,2019-04-01
33,"Alcoholic Beverage, wine, table, red, Pinot Noir",174835,sr_legacy_food,14.0,2019-04-01
34,"Alcoholic Beverage, wine, table, red, Sangiovese",174839,sr_legacy_food,14.0,2019-04-01
35,"Alcoholic Beverage, wine, table, red, Syrah",174836,sr_legacy_food,14.0,2019-04-01
36,"Alcoholic Beverage, wine, table, red, Zinfandel",173192,sr_legacy_food,14.0,2019-04-01
37,"Alcoholic beverage, beer, light",168749,sr_legacy_food,14.0,2019-04-01
38,"Alcoholic beverage, beer, light, BUD LIGHT",169572,sr_legacy_food,14.0,2019-04-01
39,"Alcoholic beverage, beer, light, BUDWEISER SELECT",168748,sr_legacy_food,14.0,2019-04-01
40,"Alcoholic beverage, beer, light, higher alcohol",174145,sr_legacy_food,14.0,2019-04-01
41,"Alcoholic beverage, beer, light, low carb",169575,sr_legacy_food,14.0,2019-04-01
42,"Alcoholic beverage, beer, regular, BUDWEISER",168747,sr_legacy_food,14.0,2019-04-01
43,"Alcoholic beverage, beer, regular, all",168746,sr_legacy_food,14.0,2019-04-01
44,"Alcoholic beverage, creme de menthe, 72 proof",173168,sr_legacy_food,14.0,2019-04-01
45,"Alcoholic beverage, daiquiri, canned",169573,sr_legacy_food,14.0,2019-04-01
46,"Alcoholic beverage, daiquiri, prepared-from-recipe",169574,sr_legacy_food,14.0,2019-04-01
47,"Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 100 proof",173664,sr_legacy_food,14.0,2019-04-01
48,"Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 80 proof",174815,sr_legacy_food,14.0,2019-04-01
49,"Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 86 proof",171919,sr_legacy_food,14.0,2019-04-01
50,"Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 90 proof",171920,sr_legacy_food,14.0,2019-04-01
51,"Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 94 proof",173663,sr_legacy_food,14.0,2019-04-01
52,"Alcoholic beverage, distilled, rum, 80 proof",174817,sr_legacy_food,14.0,2019-04-01
53,"Alcoholic beverage, distilled, vodka, 80 proof",174818,sr_legacy_food,14.0,2019-04-01
54,"Alcoholic beverage, distilled, whiskey, 86 proof",174819,sr_legacy_food,14.0,2019-04-01
55,"Alcoholic beverage, liqueur, coffee with cream, 34 proof",175098,sr_legacy_food,14.0,2019-04-01
56,"Alcoholic beverage, liqueur, coffee, 53 proof",175097,sr_legacy_food,14.0,2019-04-01
57,"Alcoholic beverage, liqueur, coffee, 63 proof",173665,sr_legacy_food,14.0,2019-04-01
58,"Alcoholic beverage, malt beer, hard lemonade",174141,sr_legacy_food,14.0,2019-04-01
59,"Alcoholic beverage, pina colada, canned",168750,sr_legacy_food,14.0,2019-04-01
60,"Alcoholic beverage, pina colada, prepared-from-recipe",168752,sr_legacy_food,14.0,2019-04-01
61,"Alcoholic beverage, rice (sake)",167723,sr_legacy_food,14.0,2019-04-01
62,"Alcoholic beverage, tequila sunrise, canned",168753,sr_legacy_food,14.0,2019-04-01
63,"Alcoholic beverage, whiskey sour",173662,sr_legacy_food,14.0,2019-04-01
64,"Alcoholic beverage, whiskey sour, canned",174810,sr_legacy_food,14.0,2019-04-01
65,"Alcoholic beverage, whiskey sour, prepared from item 14028",174812,sr_legacy_food,14.0,2019-04-01
66,"Alcoholic beverage, whiskey sour, prepared with water, whiskey and powder mix",173164,sr_legacy_food,14.0,2019-04-01
67,"Alcoholic beverage, wine, cooking",169070,sr_legacy_food,14.0,2019-04-01
68,"Alcoholic beverage, wine, dessert, dry",175112,sr_legacy_food,14.0,2019-04-01
69,"Alcoholic beverage, wine, dessert, sweet",173176,sr_legacy_food,14.0,2019-04-01
70,"Alcoholic beverage, wine, light",169071,sr_legacy_food,14.0,2019-04-01
71,"Alcoholic beverage, wine, table, all",173185,sr_legacy_food,14.0,2019-04-01
72,"Alcoholic beverage, wine, table, red",173190,sr_legacy_food,14.0,2019-04-01
73,"Alcoholic beverage, wine, table, white",174837,sr_legacy_food,14.0,2019-04-01
74,"Alcoholic beverage, wine, table, white, Chardonnay",174110,sr_legacy_food,14.0,2019-04-01
75,"Alcoholic beverage, wine, table, white, Chenin Blanc",173195,sr_legacy_food,14.0,2019-04-01
76,"Alcoholic beverage, wine, table, white, Fume Blanc",173196,sr_legacy_food,14.0,2019-04-01
77,"Alcoholic beverage, wine, table, white, Gewurztraminer",174843,sr_legacy_food,14.0,2019-04-01
78,"Alcoholic beverage, wine, table, white, Muller Thurgau",173198,sr_legacy_food,14.0,2019-04-01
79,"Alcoholic beverage, wine, table, white, Muscat",174849,sr_legacy_food,14.0,2019-04-01
80,"Alcoholic beverage, wine, table, white, Pinot Blanc",174848,sr_legacy_food,14.0,2019-04-01
81,"Alcoholic beverage, wine, table, white, Pinot Gris (Grigio)",174841,sr_legacy_food,14.0,2019-04-01
82,"Alcoholic beverage, wine, table, white, Riesling",173200,sr_legacy_food,14.0,2019-04-01
83,"Alcoholic beverage, wine, table, white, Sauvignon Blanc",173201,sr_legacy_food,14.0,2019-04-01
84,"Alcoholic beverage, wine, table, white, Semillon",174845,sr_legacy_food,14.0,2019-04-01
85,"Alcoholic beverage, wine, table, white, late harvest",173202,sr_legacy_food,14.0,2019-04-01
86,"Alcoholic beverage, wine, table, white, late harvest, Gewurztraminer",174844,sr_legacy_food,14.0,2019-04-01
87,"Alcoholic beverages, beer, higher alcohol",171906,sr_legacy_food,14.0,2019-04-01
88,"Alcoholic beverages, wine, rose",171908,sr_legacy_food,14.0,2019-04-01
89,"Alfalfa seeds, sprouted, raw",168384,sr_legacy_food,11.0,2019-04-01
90,"Amaranth grain, cooked",170683,sr_legacy_food,20.0,2019-04-01
91,"Amaranth grain, uncooked",170682,sr_legacy_food,20.0,2019-04-01
92,"Amaranth leaves, cooked, boiled, drained, with salt",168492,sr_legacy_food,11.0,2019-04-01
93,"Amaranth leaves, cooked, boiled, drained, without salt",169202,sr_legacy_food,11.0,2019-04-01
94,"Amaranth leaves, raw",168385,sr_legacy_food,11.0,2019-04-01
95,"Andrea's, Gluten Free Soft Dinner Roll",167590,sr_legacy_food,18.0,2019-04-01
96,"Animal fat, bacon grease",172345,sr_legacy_food,4.0,2019-04-01
97,"Apple juice, canned or bottled, unsweetened, with added ascorbic acid",167771,sr_legacy_food,9.0,2019-04-01
98,"Apple juice, canned or bottled, unsweetened, with added ascorbic acid, calcium, and potassium",167800,sr_legacy_food,9.0,2019-04-01
99,"Apple juice, canned or bottled, unsweetened, without added ascorbic acid",173933,sr_legacy_food,9.0,2019-04-01
100,"Apple juice, frozen concentrate, unsweetened, diluted with 3 volume water without added ascorbic acid",173935,sr_legacy_food,9.0,2019-04-01
101,"Apple juice, frozen concentrate, unsweetened, diluted with 3 volume water, with added ascorbic acid",167775,sr_legacy_food,9.0,2019-04-01
102,"Apple juice, frozen concentrate, unsweetened, undiluted, with added ascorbic acid",168188,sr_legacy_food,9.0,2019-04-01
103,"Apple juice, frozen concentrate, unsweetened, undiluted, without added ascorbic acid",173934,sr_legacy_food,9.0,2019-04-01
104,"Apples, canned, sweetened, sliced, drained, heated",173930,sr_legacy_food,9.0,2019-04-01
105,"Apples, dehydrated (low moisture), sulfured, stewed",171690,sr_legacy_food,9.0,2019-04-01
106,"Apples, dehydrated (low moisture), sulfured, uncooked",173931,sr_legacy_food,9.0,2019-04-01
107,"Apples, dried, sulfured, stewed, with added sugar",171693,sr_legacy_food,9.0,2019-04-01
108,"Apples, dried, sulfured, stewed, without added sugar",171692,sr_legacy_food,9.0,2019-04-01
109,"Apples, dried, sulfured, uncooked",171691,sr_legacy_food,9.0,2019-04-01
110,"Apples, frozen, unsweetened, heated (Includes foods for USDA's Food Distribution Program)",173932,sr_legacy_food,9.0,2019-04-01
111,"Apples, frozen, unsweetened, unheated (Includes foods for USDA's Food Distribution Program)",171694,sr_legacy_food,9.0,2019-04-01
112,"Apples, raw, fuji, with skin (Includes foods for USDA's Food Distribution Program)",167793,sr_legacy_food,9.0,2019-04-01
113,"Apples, raw, gala, with skin (Includes foods for USDA's Food Distribution Program)",168204,sr_legacy_food,9.0,2019-04-01
114,"Apples, raw, golden delicious, with skin",168202,sr_legacy_food,9.0,2019-04-01
115,"Apples, raw, granny smith, with skin (Includes foods for USDA's Food Distribution Program)",168203,sr_legacy_food,9.0,2019-04-01
116,"Apples, raw, red delicious, with skin (Includes foods for USDA's Food Distribution Program)",168201,sr_legacy_food,9.0,2019-04-01
117,"Apples, raw, with skin (Includes foods for USDA's Food Distribution Program)",171688,sr_legacy_food,9.0,2019-04-01
118,"Apples, raw, without skin",171689,sr_legacy_food,9.0,2019-04-01
119,"Apples, raw, without skin, cooked, boiled",173928,sr_legacy_food,9.0,2019-04-01
120,"Apples, raw, without skin, cooked, microwave",173929,sr_legacy_food,9.0,2019-04-01
121,"Applesauce, canned, sweetened, with salt",167773,sr_legacy_food,9.0,2019-04-01
122,"Applesauce, canned, sweetened, without salt",171696,sr_legacy_food,9.0,2019-04-01
123,"Applesauce, canned, unsweetened, with added ascorbic acid",167772,sr_legacy_food,9.0,2019-04-01
124,"Applesauce, canned, unsweetened, without added ascorbic acid (Includes foods for USDA's Food Distribution Program)",171695,sr_legacy_food,9.0,2019-04-01
125,"Apricot nectar, canned, with added ascorbic acid",171704,sr_legacy_food,9.0,2019-04-01
126,"Apricots, canned, extra heavy syrup pack, without skin, solids and liquids",171701,sr_legacy_food,9.0,2019-04-01
127,"Apricots, canned, extra light syrup pack, with skin, solids and liquids (Includes foods for USDA's Food Distribution Program)",173938,sr_legacy_food,9.0,2019-04-01
128,"Apricots, canned, heavy syrup pack, with skin, solids and liquids",171699,sr_legacy_food,9.0,2019-04-01
129,"Apricots, canned, heavy syrup pack, without skin, solids and liquids",171700,sr_legacy_food,9.0,2019-04-01
130,"Apricots, canned, heavy syrup, drained",167768,sr_legacy_food,9.0,2019-04-01
131,"Apricots, canned, juice pack, with skin, solids and liquids",173937,sr_legacy_food,9.0,2019-04-01
132,"Apricots, canned, light syrup pack, with skin, solids and liquids",173939,sr_legacy_food,9.0,2019-04-01
133,"Apricots, canned, water pack, with skin, solids and liquids",171698,sr_legacy_food,9.0,2019-04-01
134,"Apricots, canned, water pack, without skin, solids and liquids",173936,sr_legacy_food,9.0,2019-04-01
135,"Apricots, dehydrated (low-moisture), sulfured, stewed",173940,sr_legacy_food,9.0,2019-04-01
136,"Apricots, dehydrated (low-moisture), sulfured, uncooked",171702,sr_legacy_food,9.0,2019-04-01
137,"Apricots, dried, sulfured, stewed, with added sugar",173943,sr_legacy_food,9.0,2019-04-01
138,"Apricots, dried, sulfured, stewed, without added sugar",173942,sr_legacy_food,9.0,2019-04-01
139,"Apricots, dried, sulfured, uncooked",173941,sr_legacy_food,9.0,2019-04-01
140,"Apricots, frozen, sweetened",171703,sr_legacy_food,9.0,2019-04-01
141,"Apricots, raw",171697,sr_legacy_food,9.0,2019-04-01
142,"Archway Home Style Cookies, Chocolate Chip Ice Box",175071,sr_legacy_food,18.0,2019-04-01
143,"Archway Home Style Cookies, Coconut Macaroon",173245,sr_legacy_food,18.0,2019-04-01
144,"Archway Home Style Cookies, Date Filled Oatmeal",173246,sr_legacy_food,18.0,2019-04-01
145,"Archway Home Style Cookies, Dutch Cocoa",173247,sr_legacy_food,18.0,2019-04-01
146,"Archway Home Style Cookies, Frosty Lemon",173248,sr_legacy_food,18.0,2019-04-01
147,"Archway Home Style Cookies, Iced Molasses",173249,sr_legacy_food,18.0,2019-04-01
148,"Archway Home Style Cookies, Iced Oatmeal",175072,sr_legacy_food,18.0,2019-04-01
149,"Archway Home Style Cookies, Molasses",175073,sr_legacy_food,18.0,2019-04-01
150,"Archway Home Style Cookies, Oatmeal",175074,sr_legacy_food,18.0,2019-04-01
151,"Archway Home Style Cookies, Oatmeal Raisin",175075,sr_legacy_food,18.0,2019-04-01
152,"Archway Home Style Cookies, Old Fashioned Molasses",173250,sr_legacy_food,18.0,2019-04-01
153,"Archway Home Style Cookies, Old Fashioned Windmill Cookies",173251,sr_legacy_food,18.0,2019-04-01
154,"Archway Home Style Cookies, Peanut Butter",173252,sr_legacy_food,18.0,2019-04-01
155,"Archway Home Style Cookies, Raspberry Filled",173253,sr_legacy_food,18.0,2019-04-01
156,"Archway Home Style Cookies, Reduced Fat Ginger Snaps",175077,sr_legacy_food,18.0,2019-04-01
157,"Archway Home Style Cookies, Strawberry Filled",175076,sr_legacy_food,18.0,2019-04-01
158,"Archway Home Style Cookies, Sugar Free Oatmeal",175070,sr_legacy_food,18.0,2019-04-01
159,"Arrowhead, cooked, boiled, drained, with salt",168493,sr_legacy_food,11.0,2019-04-01
160,"Arrowhead, cooked, boiled, drained, without salt",169204,sr_legacy_food,11.0,2019-04-01
161,"Arrowhead, raw",169203,sr_legacy_food,11.0,2019-04-01
162,Arrowroot flour,170684,sr_legacy_food,20.0,2019-04-01
163,"Arrowroot, raw",168490,sr_legacy_food,11.0,2019-04-01
164,"Artichokes, (globe or french), cooked, boiled, drained, with salt",169311,sr_legacy_food,11.0,2019-04-01
165,"Artichokes, (globe or french), cooked, boiled, drained, without salt",168386,sr_legacy_food,11.0,2019-04-01
166,"Artichokes, (globe or french), frozen, cooked, boiled, drained, with salt",169312,sr_legacy_food,11.0,2019-04-01
167,"Artichokes, (globe or french), frozen, cooked, boiled, drained, without salt",168388,sr_legacy_food,11.0,2019-04-01
168,"Artichokes, (globe or french), frozen, unprepared",168387,sr_legacy_food,11.0,2019-04-01
169,"Artichokes, (globe or french), raw",169205,sr_legacy_food,11.0,2019-04-01
170,"Artificial Blueberry Muffin Mix, dry",175078,sr_legacy_food,18.0,2019-04-01
